title,platform,score,genre,release_year,release_month
Mineko's Night Market,Xbox One,5,Adventure,2023,10
Mineko's Night Market,PlayStation 4,5,Adventure,2023,10
The Making of Karateka,PC,9,Compilation,2023,8
The Making of Karateka,PlayStation 4,9,Compilation,2023,8
The Making of Karateka,Xbox One,9,Compilation,2023,8
Resident Evil 4: Separate Ways,PC,9,Action,2023,9
Resident Evil 4: Separate Ways,Xbox One,9,Action,2023,9
Resident Evil 4: Separate Ways,PlayStation 4,9,Action,2023,9
Cyberpunk 2077: Phantom Liberty,PlayStation 5,9,Sci-Fi,2023,9
Mortal Kombat 1,PlayStation 5,3,Fighting,2023,9
Mortal Kombat 1,PC,3,Fighting,2023,9
PayDay 3,PC,7,PC,2023,9
Mortal Kombat 1,PlayStation 5,8,Fighting,2023,9
